2019-06-27 17:43:38,0,"b'#Afternoon #MountainBike ride 29.7miles, 4.288ft Elev Gain #MTB #cycling #Llangollen #NorthWales #mtbcycling\xe2\x80\xa6 https://t.co/ynzE3TYdvK'"
2019-06-27 17:35:05,1,"b'RT @Journey2Nepal: At the top of the Shivapuri hill, there is a white statue of legendary Shivapuri Baba. Fi hill day tour.\n#tour #sightsee\xe2\x80\xa6'"
2019-06-27 17:34:33,1,"b'At the top of the Shivapuri hill, there is a white statue of legendary Shivapuri Baba. Fi hill day tour.\n#tour\xe2\x80\xa6 https://t.co/ffadm5VORf'"
2019-06-27 17:23:59,0,"b'I have a new horn, just in time for medieval trekking this summer!\n#Horn #HuntingHorn #Medieval #Trek #Signal https://t.co/2qZXDuga46'"
2019-06-27 17:13:50,1,b'RT @Tiwaash: Mornings like this \xf0\x9f\x98\x8d\n\n#sunrise #goldenhour #trek #mountains #Skandagiri #bangalorediaries #bangaloreexplorer #trekker #trekkin\xe2\x80\xa6'
2019-06-27 17:08:45,1,b'Mornings like this \xf0\x9f\x98\x8d\n\n#sunrise #goldenhour #trek #mountains #Skandagiri #bangalorediaries #bangaloreexplorer\xe2\x80\xa6 https://t.co/sARB8sDeSj'
2019-06-27 16:30:52,0,"b'Fort Ben jibs. #mountainbike #trek \n\nThanks to Rigo for filming. @ Lawrence, Indiana https://t.co/kVX43TIQIb'"
2019-06-27 16:22:49,43,"b'RT @IshaSacredWalks: Inspired by the participants in Singapore, volunteers and participants in San Francisco also came together to climb on\xe2\x80\xa6'"
2019-06-27 15:36:03,0,b'Lots of water in the last few days... #swimming #nightswimming #inflatables #hottublunches #trek #specialized\xe2\x80\xa6 https://t.co/GQ6yrmtHH1'
2019-06-27 15:15:32,43,"b'RT @IshaSacredWalks: Inspired by the participants in Singapore, volunteers and participants in San Francisco also came together to climb on\xe2\x80\xa6'"
2019-06-27 15:13:37,1,b'RT @Sarah_Begum: Further into the wild I go...\n#wild #adventure #adventuress #adventurer #wilderness #nature #trek #trekking #gettinglost #\xe2\x80\xa6'
2019-06-27 14:57:22,1,b'Further into the wild I go...\n#wild #adventure #adventuress #adventurer #wilderness #nature #trek #trekking\xe2\x80\xa6 https://t.co/UJ6vNEKkTI'
